language,locale
eng,en
ger,de
dut,nl
rus,ru
jpn,jp
chi,zh
spa,es
ita,it
fre,fr
dan,da
nob,no
afr,af
fin,fi
cat,ca
wel,cy
pol,pl
hun,hu
est,et
slo,sk
por,pt
lit,lt
swe,sv
cze,cs
tur,tr
ukr,uk
ind,id
lav,lv
kor,ko
mac,mk
ice,is
slv,es
bre,br
per,fa
swa,sw
sna,sn
xho,xh
epo,eo
tsn,tn
sot,st
tso,ts
ssw,ss
zul,zu
tam,ta
tha,th
que,qu
baq,eu
vie,vi
hrv,hr
sh,Q3788739
hsb,Q13248
nds,Q168446
lim,li
nno,no
szl,szl
csb,Q33690
sme,se
frr,Q28224
kur,ku
gle,ga
uzb,uz
glg,gl
rum,ro
ido,io
aze,az
oss,os
dsb,Q13286
gre,el
myv,Q29952
kaz,kk
bul,bg
bel,be
koi,kv
arm,hy
heb,he
ckb,ckb
ara,ar
hin,hi
bur,my
geo,ka
glv,gv
cos,co
vep,Q32747
ltz,lb
sgs,sgs
stq,stq
tg-latn,tg-latn
fry,fy
lat,la
ksh,ksh
ku-latn,ku-latn
srp,sr
kbd,Q33522
tgk,tg
lbe,Q36206
udm,Q13238
bak,ba
ku-arab,ku-arab
pus,ps
pnb,pnb
zh-hant,zh-hant
zh-tw,zh-tw
zh-hans,zh-hans
ton,to
mao,mi
aka,ak
pt-br,pt-br
hat,ht
bar,Q29540
vec,vec
asm,as
ben,bn
be-tarask,be-tarask
may,ms
sin,si
mrj,mrj
bos,bs
vls,vls
jav,jv
nds-nl,nds-nl
lmo,Q33754
pms,pms
tat,tt
nep,ne
mal,ml
yue,yue
grn,gn
tgl,tl
nrm,nrm
pcd,Q34024
som,so
ava,av
mdf,Q13343
mhr,Q3906614
xmf,Q13359
mon,mn
mar,mr
tel,te
cor,kw
diq,diq
chv,cv
sah,Q34299
bxr,bxr
khm,km
srd,sc
nan,nan
nav,nv
nah,Q13300
guj,gu
kan,kn
div,dv
gla,gd
hau,ha
sun,su
oci,oc
lzh,lzh
ast,Q29507
tib,bo
alb,sq
lij,Q36106
mzn,mzn
ina,ia
yid,yi
urd,ur
arg,an
ceb,Q33239
wln,wa
bpy,bpy
ewe,ee
roa-tara,roa-tara
aym,ay
wol,wo
che,ce
fao,fo
zh-cn,zh-cn
kom,kv
de-ch,de-ch
roh,rm
mlt,mt
bam,bm
fr-ca,fr-ca
uig,ug
pan,pa
kir,ky
hif,hif
scn,Q33973
tah,ty
bis,bi
ile,ie
eml,eml
nap,Q33845
ori,or
ful,ff
pdc,pdc
kin,rw
kas,ks
vro,vro
ltg,ltg
kal,kl
nau,na
ipk,ik
war,Q34279
mlg,mg
rue,Q26245
zh-hk,zh-hk
cre,cr
frp,frp
lld,lld
tuk,tk
sr-el,sr-el
sr-ec,sr-ec
pam,Q36121
en-gb,en-gb
sco,Q14549
azb,azb
zea,zea
zha,za
cdo,Q36455
yor,yo
nya,ny
bcl,bcl
en-ca,en-ca
lin,ln
lkt,lkt
gag,gag
ven,ve
glk,glk
wuu,Q34290
bjn,bjn
arz,arz
rmy,rmy
ext,ext
vol,vo
cha,ch
san,sa
de-at,de-at
tzm,tzm
pli,pi
iku,iu
lao,lo
kab,Q35853
hak,hak
sag,sg
amh,am
gan,gan
kik,ki
snd,sd
pdt,pdt
abk,ab
run,rn
nor,no
gom,gom
tcy,tcy
nys,nys
smo,sm
fij,fj
kau,kr
mah,mh
ibo,ig
orm,om
bih,bh
DEU,de
FRA,fr
RON,RON
BER,BER
MEY,MEY
BCC,BCC
ZLM,ZLM
SLK,sk
CES,CES
KRI,KRI
AEB,AEB
YPK,YPK
CKT,CKT
EVN,EVN
ALE,ALE
SMI,SMI
KPY,KPY
AUQ,AUQ
YRK,YRK
KCA,KCA
EVE,EVE
KAT,KAT
FAS,FAS
PMT,PMT
SWH,sw
PAU,PAU
MRV,MRV
KPG,KPG
TVL,TVL
GIL,GIL
FON,FON
PIH,PIH
CRS,CRS
MFE,MFE
