parent,child
http://purl.obolibrary.org/obo/ENVO_01000206,http://eol.org/schema/terms/temperate_grasslands_savannas_and_shrublands
http://purl.obolibrary.org/obo/ENVO_01000206,http://eol.org/schema/terms/temperate_broadleaf_and_mixed_forests
http://purl.obolibrary.org/obo/ENVO_01000206,http://eol.org/schema/terms/temperate_coniferous_forest
http://eol.org/schema/terms/tropicalOrSubtropical,http://eol.org/schema/terms/tropical_and_subtropical_grasslands_savannas_and_shrublands
http://eol.org/schema/terms/tropicalOrSubtropical,http://eol.org/schema/terms/Tropical_and_subtropical_moist_broadleaf_forests
http://eol.org/schema/terms/tropicalOrSubtropical,http://eol.org/schema/terms/Tropical_and_subtropical_dry_broadleaf_forests
http://eol.org/schema/terms/tropicalOrSubtropical,http://eol.org/schema/terms/Tropical_and_subtropical_coniferous_forests
http://eol.org/schema/terms/tropicalOrSubtropical,http://eol.org/schema/terms/mangroves
http://purl.obolibrary.org/obo/ENVO_01000251,http://eol.org/schema/terms/boreal_forests_taiga
http://purl.obolibrary.org/obo/ENVO_01000339,http://purl.obolibrary.org/obo/ENVO_01000180
http://purl.obolibrary.org/obo/ENVO_02000049,http://eol.org/schema/terms/mangroves
http://purl.obolibrary.org/obo/ENVO_00000043,http://eol.org/schema/terms/mangroves
http://purl.obolibrary.org/obo/ENVO_01000176,http://eol.org/schema/terms/tropical_and_subtropical_grasslands_savannas_and_shrublands
http://purl.obolibrary.org/obo/ENVO_01000176,http://eol.org/schema/terms/montane_grasslands_and_shrublands
http://purl.obolibrary.org/obo/ENVO_01000176,http://eol.org/schema/terms/mediterranean_forests_woodlands_and_scrubs
http://purl.obolibrary.org/obo/ENVO_01000176,http://eol.org/schema/terms/deserts_and_xeric_shrublands
http://purl.obolibrary.org/obo/ENVO_01000176,http://eol.org/schema/terms/montane_grasslands_and_shrublands
http://purl.obolibrary.org/obo/ENVO_01000176,http://eol.org/schema/terms/tropical_and_subtropical_grasslands_savannas_and_shrublands
http://purl.obolibrary.org/obo/ENVO_01000176,http://eol.org/schema/terms/temperate_grasslands_savannas_and_shrublands
