ady,Q27776,Adyghe,
aeb-arab,Q56240,Tunisian Arabic,
aeb-latn,Q56240,Tunisian Arabic,
afr,af,Afrikaans,
als,Q180937,Tosk Albanian,
ar,ar,Arabic,
ara,ar,Arabic,
arc,Q28602,Official Aramaic,
ary,Q56426,Moroccan Arabic,
ast,Q29507,Asturian,
az,Q9292,Azerbaijani,
atj,Q56590,Atikamekw,
au,en,English,
bav,Q7022366,Ngindo,
bdp,Q8836490,Bende,
be,be,Belarusian,
bg,bg,Bulgarian,
bou,Q4941378,Bondei,
br,br,Breton,
brh,Q33202,Brahui,
bs,bs,Bosnian,
bul,bg,Bulgarian,
bur,my,Burmese,
ca,ca,Catalan; Valencian,
car,Q35156,Car,
cat,ca,Catalan; Valencian,
cbk-zam,Q33281,Chavacano,
cho,Q32979,Choctaw,
co,co,Corsican,
cre,cr,Cree,
crh,Q33357,Crimean Tatar,
crh-latn,Q33357,Crimean Tatar,
cu,cu,Old Church Slavonic,
dan,da,Danish,
de,de,German,
dig,Q3362072,Digo,
din,Q56466,Dinka,
djk,Q35037,Businenge Tongo,
dty,Q18415595,Dotyali,
dz,dz,Dzongkha,
en,en,English,
eng,en,English,
es-419,es,Spanish,
fi,fi,Finnish,
fip,Q667747,Fipa,
fr,fr,French,
frc,Q880301,Cajun French,
gan-hant,Q33475,Gan Chinese,
gb,en,English,
gog,Q3272630,Gogo,
gom-deva,Q5575236,Goan Konkani,
gom-latn,Q5575236,Goan Konkani,
gor,Q2501174,Gorontalo,
hai,Q33303,Haida,
hay,Q35756,Haya,
heh,Q3129390,Hehe,
hil,Q35978,Hiligaynon,
ike-cans,Q4126517,Eastern Canadian Inuktitut,
ike-latn,Q4126517,Eastern Canadian Inuktitut,
ilo,Q35936,Ilocano,
inh,Q33509,Ingush,
irk,Q33595,Iraqw,
jam,Q35939,Jamaican Creole English,
jp,jp,Japanese,
jpn,jp,Japanese,
kaa,Q33541,Kara-Kalpak,
kbp,Q35475,Kabiyè,
kik,ki,Kikuyu,
kk-arab,kk,Kazakh,
kk-cn,kk,Kazakh,
kk-cyrl,kk,Kazakh,
kk-kz,kk,Kazakh,
kk-latn,kk,Kazakh,
kk-tr,kk,Kazakh,
kon,kg,Kongo,
ksb,Q3788739,Shambala,
lag,Q584983,Rangi,
lfn,Q146803,Lingua Franca Nova,
liv,Q33698,Liv,
lrc,Q19933293,Northern Luri,
lug,lg,Ganda,
lzz,Q1160372,Laz,
mai,Q36109,Maithili,
map-bms,
mas,Q35787,Masai,
mer,Q13313,Meru,
mgv,Q6786446,Matengo,
min,Q13324,Minangkabau,
mjh,Q6944725,Mwera,
mjn,Q35787,Maasai,
mt,mt,Maltese,
mwl,Q13330,Mirandese,
my,my,Burmese,
nai,Q3508074,Nai,
nih,Q11128374,Nyiha,
Nk,Q3272620,Nyakusa,
nkt,Q16115145,Nyika,
nnq,Q11732519,Kingindo,
no,no,Norwegian,
nov,Q36738,Novial,
nym,Q4121131,Nyamwezi,
nyy,Q3272620,Nyakusa,
olo,Q36584,Livvi,
ota,Q36730,"Turkish, Ottoman",
pfl,Q23014,Pfaelzisch,
pnt,Q36748,Pontic,
por,pt,Portuguese,
poy,Q2429648,Pogoro,
ppt,Q36403,Pare,
pt,pt,Portuguese,
pt-br,Q750553,Brazilian Portuguese,
rim,Q7193418,Nyaturu,
ruf,Q3437661,Luguru,
ruq,Q13358,Megleno Romanian,
sad,Q34016,Sandawe,
sat,Q33965,Santali,
sdc,Q845441,Sassarese Sardinian,
Sh,Q3788739,Shambala,
shn,Q56482,Shan,
sn,sn,Shona,
sp,es,Spanish; Castilian,
spa,es,Spanish; Castilian,
suk,Q2638144,Sukuma,
swa,sw,Swahili,
swh,sw,Swahili,
tg-cyrl,tg,Tajik,
tir,ti,Tigrinya,
tly,Q34318,Talysh,
tpi,Q34159,Tok Pisin,
tt-cyrl,tt,Tatar,
tt-latn,tt,Tatar,
tum,Q34138,Tumbuka,
vmf,Q497345,Mainfränkisch,
vot,Q32858,Votic,
xal,Q33634,Kalmyk,
za,za,Zhuang,
zga,Q11005332,Kinga,
zh-sg,zh,Chinese,
cbs,Q2591230,Cashinahua,
